kind,.pred_AI,.pred_class,detector,native,name,model,document_id,prompt
AI,0.061262053,Human,OriginalityAI,NA,Fake TOEFL - GPT4 - PE,GPT4,428,Enhance like native
AI,0.000444727,Human,Crossplag,NA,"Fake CS224N - GPT3, PE",GPT4,698,Elevate using technical
AI,0.964935958,AI,OriginalityAI,NA,Fake CS224N - GPT3,GPT3,577,Plain
Human,0,Human,ZeroGPT,Yes,Real CS224N,Human,867,NA
Human,0.000171112,Human,Crossplag,Yes,Real CS224N,Human,831,NA
AI,0.00463496,Human,Crossplag,NA,Fake CS224N - GPT3,GPT3,529,Plain
AI,0.000100059,Human,GPTZero,NA,"Fake CS224N - GPT3, PE",GPT4,690,Elevate using technical
AI,0.011698782,Human,Quil,NA,"Fake CS224N - GPT3, PE",GPT4,484,Elevate using technical
Human,0.977113783,AI,Crossplag,No,Real TOEFL,Human,545,NA
AI,0.999686956,AI,Quil,NA,Fake CS224N - GPT3,GPT3,25,Plain
Human,0.375,Human,ZeroGPT,No,Real TOEFL,Human,329,NA
AI,0,Human,ZeroGPT,NA,"Fake CS224N - GPT3, PE",GPT4,719,Elevate using technical
AI,0.99064821,AI,OriginalityAI,NA,"Fake CS224N - GPT3, PE",GPT4,609,Elevate using technical
Human,0.000467658,Human,Quil,Yes,US 8th grade essay,Human,889,NA
AI,0.285403013,Human,Quil,NA,Fake CS224N - GPT3,GPT3,637,Plain
AI,0.96779722,AI,OriginalityAI,NA,Fake CS224N - GPT3,GPT3,590,Plain
Human,1.33E-13,Human,GPTZero,Yes,Real College Essays,Human,364,NA
Human,0.000169992,Human,Quil,Yes,US 8th grade essay,Human,252,NA
Human,7.81E-11,Human,GPTZero,Yes,Real College Essays,Human,486,NA
AI,0.999136627,AI,Crossplag,NA,Fake CS224N - GPT3,GPT3,591,Plain
AI,0,Human,ZeroGPT,NA,Fake CS224N - GPT3,GPT3,482,Plain
AI,0.988389611,AI,OriginalityAI,NA,Fake CS224N - GPT3,GPT3,29,Plain
Human,4.57E-15,Human,GPTZero,Yes,Real CS224N,Human,846,NA
Human,0.001728058,Human,Quil,Yes,US 8th grade essay,Human,99,NA
AI,0.731426418,AI,OriginalityAI,NA,"Fake CS224N - GPT3, PE",GPT4,582,Elevate using technical
AI,0.996976256,AI,Crossplag,NA,Fake CS224N - GPT3,GPT3,689,Plain
AI,0.147999719,Human,OriginalityAI,NA,"Fake CS224N - GPT3, PE",GPT4,658,Elevate using technical
Human,0.000600822,Human,Crossplag,Yes,Real CS224N,Human,859,NA
AI,0.99980551,AI,Quil,NA,US 8th grade essay - GPT simplify,GPT4,425,Simplify like non-native
Human,0.007471623,Human,OriginalityAI,Yes,Real CS224N,Human,759,NA
AI,0,Human,ZeroGPT,NA,"Fake CS224N - GPT3, PE",GPT4,667,Elevate using technical
Human,0.971034169,AI,OriginalityAI,No,Real TOEFL,Human,544,NA
AI,0.0009173,Human,OriginalityAI,NA,Fake CS224N - GPT3,GPT3,631,Plain
AI,1.47E-05,Human,GPTZero,NA,Fake CS224N - GPT3,GPT3,39,Plain
Human,0,Human,ZeroGPT,Yes,US 8th grade essay,Human,122,NA
AI,0.001632392,Human,Quil,NA,Fake TOEFL - GPT4 - PE,GPT4,378,Enhance like native
AI,0.004597061,Human,Crossplag,NA,Fake TOEFL - GPT4 - PE,GPT4,354,Enhance like native
AI,0.999783814,AI,Quil,NA,Fake CS224N - GPT3,GPT3,566,Plain
AI,0.000656477,Human,GPTZero,NA,"Fake CS224N - GPT3, PE",GPT4,606,Elevate using technical
AI,0.912962615,AI,Quil,NA,Fake CS224N - GPT3,GPT3,620,Plain
AI,1.47E-05,Human,GPTZero,NA,Fake CS224N - GPT3,GPT3,683,Plain
AI,0.000170112,Human,Quil,NA,"Fake CS224N - GPT3, PE",GPT4,709,Elevate using technical
AI,1.69E-05,Human,Sapling,NA,"Fake CS224N - GPT3, PE",GPT4,694,Elevate using technical
AI,0.067232005,Human,OriginalityAI,NA,"Fake CS224N - GPT3, PE",GPT4,673,Elevate using technical
Human,0.00023967,Human,Quil,Yes,Real College Essays,Human,359,NA
Human,0.259931713,Human,HFOpenAI,Yes,Real CS224N,Human,815,NA
Human,0.000177136,Human,Crossplag,Yes,Real College Essays,Human,247,NA
Human,0.999998527,AI,Sapling,Yes,US 8th grade essay,Human,331,NA
AI,0.468250781,Human,OriginalityAI,NA,Fake CS224N - GPT3,GPT3,628,Plain
AI,0.036782086,Human,Quil,NA,Fake CS224N - GPT3,GPT3,444,Plain
AI,1.47E-05,Human,GPTZero,NA,Fake CS224N - GPT3,GPT3,595,Plain
AI,0.042365782,Human,OriginalityAI,NA,Fake CS224N - GPT3,GPT3,564,Plain
AI,0.825780332,AI,Crossplag,NA,US 8th grade essay - GPT simplify,GPT4,160,Simplify like non-native
AI,0.999808133,AI,HFOpenAI,NA,Fake College Essays - GPT3,GPT3,67,Plain
AI,0.006754932,Human,OriginalityAI,NA,Fake College Essays - GPT3,GPT3,531,Plain
AI,0.887165174,AI,GPTZero,NA,Fake TOEFL - GPT4 - PE,GPT4,239,Enhance like native
AI,0.900023467,AI,GPTZero,NA,US 8th grade essay - GPT simplify,GPT4,134,Simplify like non-native
Human,0.501379358,AI,OriginalityAI,Yes,Real College Essays,Human,212,NA
Human,0.000182512,Human,HFOpenAI,Yes,US 8th grade essay,Human,59,NA
AI,2.12E-06,Human,GPTZero,NA,Fake TOEFL - GPT4 - PE,GPT4,207,Enhance like native
Human,0.000172849,Human,HFOpenAI,Yes,Real CS224N,Human,813,NA
Human,1.23E-06,Human,Sapling,Yes,Real College Essays,Human,926,NA
AI,0.999694228,AI,HFOpenAI,NA,Fake CS224N - GPT3,GPT3,591,Plain
Human,0,Human,ZeroGPT,Yes,Real CS224N,Human,745,NA
AI,0.000368914,Human,Crossplag,NA,Fake TOEFL - GPT4 - PE,GPT4,317,Enhance like native
Human,0.684286952,AI,Crossplag,No,Real TOEFL,Human,262,NA
AI,0.902806222,AI,OriginalityAI,NA,Fake CS224N - GPT3,GPT3,587,Plain
Human,0.000197237,Human,Crossplag,Yes,Real College Essays,Human,898,NA
Human,0.004195242,Human,Crossplag,Yes,US 8th grade essay,Human,148,NA
AI,0.17336373,Human,OriginalityAI,NA,"Fake CS224N - GPT3, PE",GPT4,625,Elevate using technical
AI,0.000179465,Human,HFOpenAI,NA,Fake CS224N - GPT3,GPT3,610,Plain
AI,0.044222713,Human,Quil,NA,US 8th grade essay - GPT simplify,GPT4,100,Simplify like non-native
AI,0.999575436,AI,Quil,NA,Fake CS224N - GPT3,GPT3,573,Plain
Human,0.910342225,AI,GPTZero,No,Real TOEFL,Human,350,NA
Human,0,Human,ZeroGPT,Yes,Real CS224N,Human,778,NA
AI,1.17E-05,Human,Sapling,NA,Fake CS224N - GPT3,GPT3,408,Plain
Human,0.259832022,Human,Sapling,Yes,US 8th grade essay,Human,445,NA
Human,0.756476581,AI,HFOpenAI,No,Real TOEFL,Human,196,NA
Human,0.50362885,AI,HFOpenAI,No,Real TOEFL,Human,415,NA
Human,0.000280567,Human,HFOpenAI,Yes,Real CS224N,Human,755,NA
Human,3.72E-37,Human,GPTZero,Yes,Real College Essays,Human,926,NA
AI,0.000172295,Human,Crossplag,NA,"Fake CS224N - GPT3, PE",GPT4,685,Elevate using technical
AI,0.020624321,Human,HFOpenAI,NA,Fake TOEFL - GPT4 - PE,GPT4,257,Enhance like native
Human,0.000712275,Human,Crossplag,Yes,Real CS224N,Human,770,NA
AI,1.47E-05,Human,GPTZero,NA,"Fake CS224N - GPT3, PE",GPT4,556,Elevate using technical
Human,0.992724776,AI,OriginalityAI,No,Real TOEFL,Human,400,NA
AI,0.986648142,AI,Quil,NA,Fake TOEFL - GPT4 - PE,GPT4,257,Enhance like native
Human,0,Human,ZeroGPT,Yes,US 8th grade essay,Human,51,NA
AI,2.12E-06,Human,GPTZero,NA,"Fake CS224N - GPT3, PE",GPT4,561,Elevate using technical
AI,0.999594748,AI,Crossplag,NA,US 8th grade essay - GPT simplify,GPT4,319,Simplify like non-native
Human,0.000468408,Human,OriginalityAI,Yes,Real CS224N,Human,846,NA
AI,0.000656477,Human,GPTZero,NA,"Fake CS224N - GPT3, PE",GPT4,518,Elevate using technical
AI,0.000386072,Human,Crossplag,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,2,Elevate using literary
Human,1.07E-10,Human,GPTZero,Yes,Real CS224N,Human,786,NA
AI,0.00373972,Human,HFOpenAI,NA,Fake CS224N - GPT3,GPT3,529,Plain
Human,0.997962713,AI,Quil,No,Real TOEFL,Human,453,NA
AI,0.000213557,Human,Crossplag,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,381,Elevate using literary
AI,0.000168443,Human,Quil,NA,"Fake CS224N - GPT3, PE",GPT4,465,Elevate using technical
AI,0.999817789,AI,Crossplag,NA,Fake College Essays - GPT3,GPT3,422,Plain
Human,0,Human,ZeroGPT,Yes,US 8th grade essay,Human,82,NA
AI,0.113689072,Human,Crossplag,NA,Fake CS224N - GPT3,GPT3,691,Plain
AI,0.958348247,AI,GPTZero,NA,Fake College Essays - GPT3,GPT3,905,Plain
AI,0.980952084,AI,HFOpenAI,NA,Fake CS224N - GPT3,GPT3,636,Plain
AI,0.999808133,AI,Quil,NA,Fake College Essays - GPT3,GPT3,67,Plain
AI,0.071516909,Human,Crossplag,NA,Fake TOEFL - GPT4 - PE,GPT4,458,Enhance like native
AI,0.999669313,AI,HFOpenAI,NA,US 8th grade essay - GPT simplify,GPT4,90,Simplify like non-native
Human,3.00E-07,Human,GPTZero,Yes,Real CS224N,Human,877,NA
AI,0.99999959,AI,Sapling,NA,Fake CS224N - GPT3,GPT3,35,Plain
Human,0.042754106,Human,OriginalityAI,Yes,Real CS224N,Human,795,NA
Human,0.000200413,Human,Crossplag,Yes,Real College Essays,Human,729,NA
AI,0.999699831,AI,HFOpenAI,NA,US 8th grade essay - GPT simplify,GPT4,166,Simplify like non-native
AI,0.999939917,AI,Sapling,NA,"Fake CS224N - GPT3, PE",GPT4,649,Elevate using technical
Human,0.804444849,AI,Crossplag,No,Real TOEFL,Human,332,NA
Human,3.61E-05,Human,Sapling,Yes,US 8th grade essay,Human,920,NA
Human,0.004449243,Human,Sapling,No,Real TOEFL,Human,275,NA
Human,0.125,Human,ZeroGPT,Yes,US 8th grade essay,Human,188,NA
Human,0.760402243,AI,GPTZero,No,Real TOEFL,Human,276,NA
Human,1,AI,ZeroGPT,No,Real TOEFL,Human,280,NA
AI,0.132109106,Human,Quil,NA,"Fake CS224N - GPT3, PE",GPT4,558,Elevate using technical
AI,1,AI,ZeroGPT,NA,Fake CS224N - GPT3,GPT3,686,Plain
AI,0.999999009,AI,Sapling,NA,Fake CS224N - GPT3,GPT3,689,Plain
Human,0.000529274,Human,Crossplag,Yes,Real CS224N,Human,741,NA
AI,0.993859367,AI,Sapling,NA,Fake TOEFL - GPT4 - PE,GPT4,489,Enhance like native
AI,0.063810416,Human,OriginalityAI,NA,"Fake CS224N - GPT3, PE",GPT4,57,Elevate using technical
AI,6.71E-07,Human,Sapling,NA,Fake TOEFL - GPT4 - PE,GPT4,286,Enhance like native
AI,0.000100059,Human,GPTZero,NA,"Fake CS224N - GPT3, PE",GPT4,484,Elevate using technical
AI,0.00035429,Human,Quil,NA,"Fake CS224N - GPT3, PE",GPT4,639,Elevate using technical
AI,0,Human,ZeroGPT,NA,Fake CS224N - GPT3,GPT3,590,Plain
Human,0,Human,ZeroGPT,Yes,Real CS224N,Human,879,NA
AI,0.032698777,Human,OriginalityAI,NA,Fake TOEFL - GPT4 - PE,GPT4,376,Enhance like native
AI,0.982059956,AI,HFOpenAI,NA,US 8th grade essay - GPT simplify,GPT4,105,Simplify like non-native
AI,0,Human,ZeroGPT,NA,Fake CS224N - GPT3,GPT3,23,Plain
AI,0.000177562,Human,Quil,NA,Fake TOEFL - GPT4 - PE,GPT4,288,Enhance like native
AI,1,AI,ZeroGPT,NA,Fake College Essays - GPT3,GPT3,422,Plain
AI,0.000685644,Human,HFOpenAI,NA,Fake TOEFL - GPT4 - PE,GPT4,287,Enhance like native
AI,0.994157195,AI,Quil,NA,Fake College Essays - GPT3,GPT3,223,Plain
Human,0.000173183,Human,HFOpenAI,Yes,US 8th grade essay,Human,174,NA
AI,0.151372895,Human,Crossplag,NA,US 8th grade essay - GPT simplify,GPT4,229,Simplify like non-native
AI,0.000100059,Human,GPTZero,NA,"Fake CS224N - GPT3, PE",GPT4,648,Elevate using technical
AI,7.46E-05,Human,Sapling,NA,Fake CS224N - GPT3,GPT3,12,Plain
AI,0.998651326,AI,Crossplag,NA,US 8th grade essay - GPT simplify,GPT4,171,Simplify like non-native
Human,0,Human,ZeroGPT,Yes,Real CS224N,Human,793,NA
AI,0.000703504,Human,OriginalityAI,NA,"Fake CS224N - GPT3, PE",GPT4,503,Elevate using technical
AI,0.000207722,Human,Quil,NA,"Fake CS224N - GPT3, PE",GPT4,673,Elevate using technical
Human,0.99909842,AI,OriginalityAI,No,Real TOEFL,Human,325,NA
AI,0.618919134,AI,Crossplag,NA,US 8th grade essay - GPT simplify,GPT4,228,Simplify like non-native
Human,0.997634411,AI,OriginalityAI,No,Real TOEFL,Human,543,NA
AI,0.151445547,Human,GPTZero,NA,Fake TOEFL - GPT4 - PE,GPT4,208,Enhance like native
Human,8.77E-07,Human,Sapling,Yes,Real College Essays,Human,388,NA
AI,0.00028826,Human,OriginalityAI,NA,"Fake CS224N - GPT3, PE",GPT4,677,Elevate using technical
Human,0.000208497,Human,HFOpenAI,Yes,Real CS224N,Human,862,NA
Human,0.004762221,Human,Crossplag,No,Real TOEFL,Human,390,NA
AI,0.75,AI,ZeroGPT,NA,Fake CS224N - GPT3,GPT3,661,Plain
AI,0.000178402,Human,Crossplag,NA,"Fake CS224N - GPT3, PE",GPT4,503,Elevate using technical
AI,0.012508058,Human,OriginalityAI,NA,Fake TOEFL - GPT4 - PE,GPT4,603,Enhance like native
Human,0.149118721,Human,Quil,No,Real TOEFL,Human,542,NA
AI,0.938137829,AI,HFOpenAI,NA,US 8th grade essay - GPT simplify,GPT4,455,Simplify like non-native
AI,0.497598708,Human,Crossplag,NA,US 8th grade essay - GPT simplify,GPT4,129,Simplify like non-native
Human,1.47E-05,Human,GPTZero,No,Real TOEFL,Human,296,NA
AI,0.996316671,AI,OriginalityAI,NA,Fake CS224N - GPT3,GPT3,522,Plain
Human,0,Human,ZeroGPT,Yes,US 8th grade essay,Human,184,NA
AI,0.003082654,Human,HFOpenAI,NA,US 8th grade essay - GPT simplify,GPT4,124,Simplify like non-native
AI,0.977912545,AI,OriginalityAI,NA,Fake TOEFL - GPT4 - PE,GPT4,922,Enhance like native
AI,0.021735525,Human,Crossplag,NA,"Fake CS224N - GPT3, PE",GPT4,649,Elevate using technical
AI,0.119640708,Human,Quil,NA,"Fake CS224N - GPT3, PE",GPT4,554,Elevate using technical
Human,0,Human,ZeroGPT,Yes,Real CS224N,Human,821,NA
Human,0.057312418,Human,Crossplag,Yes,Real CS224N,Human,845,NA
Human,0.000887313,Human,HFOpenAI,Yes,Real CS224N,Human,775,NA
AI,0.001079982,Human,Crossplag,NA,Fake College Essays - GPT3,GPT3,532,Plain
AI,0.960685551,AI,OriginalityAI,NA,Fake TOEFL - GPT4 - PE,GPT4,326,Enhance like native
Human,3.99E-30,Human,GPTZero,Yes,US 8th grade essay,Human,361,NA
AI,0.9989,AI,OriginalityAI,NA,US 8th grade essay - GPT simplify,GPT4,106,Simplify like non-native
Human,0.998386264,AI,Crossplag,No,Real TOEFL,Human,306,NA
AI,0.017661721,Human,OriginalityAI,NA,Fake TOEFL - GPT4 - PE,GPT4,311,Enhance like native
Human,0,Human,ZeroGPT,Yes,US 8th grade essay,Human,135,NA
Human,0.987478137,AI,HFOpenAI,No,Real TOEFL,Human,345,NA
AI,0.960289758,AI,GPTZero,NA,Fake College Essays - GPT3,GPT3,532,Plain
AI,0.000567963,Human,OriginalityAI,NA,"Fake CS224N - GPT3, PE",GPT4,727,Elevate using technical
Human,2.12E-06,Human,GPTZero,Yes,Real CS224N,Human,834,NA
AI,0.0001719,Human,Quil,NA,Fake TOEFL - GPT4 - PE,GPT4,298,Enhance like native
Human,0.996886075,AI,OriginalityAI,No,Real TOEFL,Human,344,NA
AI,1,AI,ZeroGPT,NA,Fake CS224N - GPT3,GPT3,462,Plain
Human,4.19E-08,Human,GPTZero,Yes,Real CS224N,Human,763,NA
AI,0.084436633,Human,HFOpenAI,NA,Fake CS224N - GPT3,GPT3,604,Plain
Human,0.000168294,Human,Crossplag,Yes,US 8th grade essay,Human,192,NA
AI,0.25,Human,ZeroGPT,NA,Fake CS224N - GPT3,GPT3,564,Plain
AI,0.212474197,Human,HFOpenAI,NA,US 8th grade essay - GPT simplify,GPT4,198,Simplify like non-native
AI,0.010369889,Human,HFOpenAI,NA,US 8th grade essay - GPT simplify,GPT4,182,Simplify like non-native
Human,0,Human,ZeroGPT,Yes,Real CS224N,Human,824,NA
AI,0.033965637,Human,GPTZero,NA,"Fake CS224N - GPT3, PE",GPT4,660,Elevate using technical
AI,0.012403429,Human,Quil,NA,"Fake CS224N - GPT3, PE",GPT4,665,Elevate using technical
AI,0.000198684,Human,HFOpenAI,NA,US 8th grade essay - GPT simplify,GPT4,123,Simplify like non-native
AI,0.030547321,Human,Quil,NA,US 8th grade essay - GPT simplify,GPT4,360,Simplify like non-native
AI,0.000100059,Human,GPTZero,NA,"Fake CS224N - GPT3, PE",GPT4,720,Elevate using technical
AI,0.998494387,AI,Quil,NA,"Fake CS224N - GPT3, PE",GPT4,559,Elevate using technical
AI,0.866619766,AI,Crossplag,NA,US 8th grade essay - GPT simplify,GPT4,162,Simplify like non-native
AI,2.12E-06,Human,GPTZero,NA,Fake TOEFL - GPT4 - PE,GPT4,355,Enhance like native
Human,0.002279298,Human,GPTZero,No,Real TOEFL,Human,371,NA
Human,0.0021,Human,OriginalityAI,Yes,US 8th grade essay,Human,148,NA
AI,6.33E-07,Human,Sapling,NA,"Fake CS224N - GPT3, PE",GPT4,598,Elevate using technical
AI,0.000188887,Human,Quil,NA,"Fake CS224N - GPT3, PE",GPT4,57,Elevate using technical
AI,1.47E-05,Human,GPTZero,NA,Fake CS224N - GPT3,GPT3,10,Plain
AI,4.93E-07,Human,Sapling,NA,Fake TOEFL - GPT4 - PE,GPT4,357,Enhance like native
AI,0.005056239,Human,Sapling,NA,US 8th grade essay - GPT simplify,GPT4,114,Simplify like non-native
AI,0,Human,ZeroGPT,NA,"Fake CS224N - GPT3, PE",GPT4,673,Elevate using technical
AI,0.000372276,Human,Crossplag,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,201,Elevate using literary
Human,0.001033902,Human,Quil,Yes,Real College Essays,Human,919,NA
AI,6.52E-07,Human,Sapling,NA,"Fake CS224N - GPT3, PE",GPT4,600,Elevate using technical
AI,0.887165174,AI,GPTZero,NA,Fake CS224N - GPT3,GPT3,508,Plain
Human,0,Human,ZeroGPT,Yes,Real CS224N,Human,771,NA
AI,6.37E-07,Human,Sapling,NA,"Fake CS224N - GPT3, PE",GPT4,702,Elevate using technical
AI,0.000205696,Human,Quil,NA,"Fake CS224N - GPT3, PE",GPT4,723,Elevate using technical
Human,0.000276757,Human,HFOpenAI,Yes,Real CS224N,Human,827,NA
AI,0.929487407,AI,OriginalityAI,NA,"Fake CS224N - GPT3, PE",GPT4,536,Elevate using technical
AI,0.0033634,Human,Crossplag,NA,Fake TOEFL - GPT4 - PE,GPT4,914,Enhance like native
AI,0.99928844,AI,HFOpenAI,NA,Fake CS224N - GPT3,GPT3,462,Plain
AI,1.07E-10,Human,GPTZero,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,202,Elevate using literary
AI,0.870862748,AI,GPTZero,NA,Fake TOEFL - GPT4 - PE,GPT4,429,Enhance like native
Human,7.42E-19,Human,GPTZero,Yes,US 8th grade essay,Human,133,NA
AI,0.9999,AI,OriginalityAI,NA,US 8th grade essay - GPT simplify,GPT4,179,Simplify like non-native
AI,0.010870164,Human,Sapling,NA,US 8th grade essay - GPT simplify,GPT4,81,Simplify like non-native
AI,0.000505706,Human,OriginalityAI,NA,Fake TOEFL - GPT4 - PE,GPT4,272,Enhance like native
Human,5.00E-04,Human,OriginalityAI,Yes,US 8th grade essay,Human,116,NA
AI,0,Human,ZeroGPT,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,732,Elevate using literary
AI,0.999819696,AI,Quil,NA,Fake CS224N - GPT3,GPT3,579,Plain
AI,3.80E-06,Human,Sapling,NA,"Fake CS224N - GPT3, PE",GPT4,611,Elevate using technical
AI,0.000100059,Human,GPTZero,NA,"Fake CS224N - GPT3, PE",GPT4,674,Elevate using technical
AI,0.904663086,AI,HFOpenAI,NA,US 8th grade essay - GPT simplify,GPT4,251,Simplify like non-native
AI,5.12E-07,Human,Sapling,NA,Fake TOEFL - GPT4 - PE,GPT4,316,Enhance like native
Human,5.96E-07,Human,Sapling,Yes,US 8th grade essay,Human,362,NA
AI,0.000284016,Human,Quil,NA,"Fake CS224N - GPT3, PE",GPT4,727,Elevate using technical
Human,0.000325084,Human,Quil,Yes,US 8th grade essay,Human,177,NA
Human,0.000283659,Human,Quil,Yes,US 8th grade essay,Human,181,NA
AI,0.99167488,AI,Sapling,NA,Fake College Essays - GPT3,GPT3,906,Plain
Human,0.0002416,Human,Crossplag,Yes,Real CS224N,Human,780,NA
AI,0.94823331,AI,GPTZero,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,63,Elevate using literary
AI,0.800477445,AI,OriginalityAI,NA,Fake CS224N - GPT3,GPT3,689,Plain
Human,0.999825776,AI,Quil,No,Real TOEFL,Human,431,NA
AI,0.999324918,AI,Quil,NA,Fake College Essays - GPT3,GPT3,541,Plain
AI,0.984809935,AI,HFOpenAI,NA,US 8th grade essay - GPT simplify,GPT4,96,Simplify like non-native
AI,5.50E-07,Human,Sapling,NA,Fake CS224N - GPT3,GPT3,683,Plain
AI,0.001360697,Human,Sapling,NA,"Fake CS224N - GPT3, PE",GPT4,527,Elevate using technical
Human,0.000100059,Human,GPTZero,No,Real TOEFL,Human,400,NA
Human,2.12E-06,Human,GPTZero,Yes,Real CS224N,Human,772,NA
AI,0.999733508,AI,Quil,NA,Fake College Essays - GPT3,GPT3,905,Plain
AI,0.316701412,Human,GPTZero,NA,US 8th grade essay - GPT simplify,GPT4,139,Simplify like non-native
Human,0.99929738,AI,Quil,No,Real TOEFL,Human,370,NA
AI,0.005999446,Human,Quil,NA,"Fake CS224N - GPT3, PE",GPT4,557,Elevate using technical
AI,0.000231922,Human,Quil,NA,Fake CS224N - GPT3,GPT3,683,Plain
Human,0.545309663,AI,HFOpenAI,No,Real TOEFL,Human,217,NA
AI,0.123335771,Human,HFOpenAI,NA,Fake CS224N - GPT3,GPT3,384,Plain
Human,0.081447601,Human,Quil,No,Real TOEFL,Human,76,NA
Human,0.000186907,Human,Crossplag,Yes,US 8th grade essay,Human,194,NA
Human,0,Human,ZeroGPT,Yes,US 8th grade essay,Human,133,NA
Human,0.275324345,Human,Crossplag,No,Real TOEFL,Human,307,NA
AI,0.999,AI,OriginalityAI,NA,US 8th grade essay - GPT simplify,GPT4,399,Simplify like non-native
AI,0.013646422,Human,Crossplag,NA,Fake CS224N - GPT3,GPT3,7,Plain
AI,1.47E-05,Human,GPTZero,NA,Fake CS224N - GPT3,GPT3,630,Plain
AI,0.081307903,Human,Crossplag,NA,Fake TOEFL - GPT4 - PE,GPT4,346,Enhance like native
AI,0.455503679,Human,GPTZero,NA,US 8th grade essay - GPT simplify,GPT4,102,Simplify like non-native
AI,0.995268762,AI,OriginalityAI,NA,Fake College Essays - GPT3,GPT3,487,Plain
AI,0.999999591,AI,Sapling,NA,Fake CS224N - GPT3,GPT3,573,Plain
AI,0.75,AI,ZeroGPT,NA,Fake CS224N - GPT3,GPT3,659,Plain
AI,0.123335771,Human,HFOpenAI,NA,Fake CS224N - GPT3,GPT3,384,Plain
AI,0.000358089,Human,Crossplag,NA,Fake TOEFL - GPT4 - PE,GPT4,895,Enhance like native
AI,0.054151952,Human,Quil,NA,Fake CS224N - GPT3,GPT3,564,Plain
Human,0.875,AI,ZeroGPT,No,Real TOEFL,Human,430,NA
Human,0.870862748,AI,GPTZero,No,Real TOEFL,Human,70,NA
AI,0.002870825,Human,OriginalityAI,NA,Fake TOEFL - GPT4 - PE,GPT4,454,Enhance like native
Human,0.000236917,Human,HFOpenAI,Yes,US 8th grade essay,Human,456,NA
AI,0,Human,ZeroGPT,NA,"Fake CS224N - GPT3, PE",GPT4,709,Elevate using technical
Human,0.000171457,Human,Crossplag,Yes,Real College Essays,Human,396,NA
AI,0.001764459,Human,HFOpenAI,NA,Fake TOEFL - GPT4 - PE,GPT4,330,Enhance like native
AI,0.999375045,AI,Crossplag,NA,Fake College Essays - GPT3,GPT3,905,Plain
Human,0.999999453,AI,Sapling,No,Real TOEFL,Human,277,NA
AI,0.760402243,AI,GPTZero,NA,US 8th grade essay - GPT simplify,GPT4,447,Simplify like non-native
AI,0.00012813,Human,Sapling,NA,Fake CS224N - GPT3,GPT3,595,Plain
Human,0.000249517,Human,OriginalityAI,Yes,Real CS224N,Human,789,NA
AI,0.25,Human,ZeroGPT,NA,Fake CS224N - GPT3,GPT3,40,Plain
AI,0.999997065,AI,Sapling,NA,Fake CS224N - GPT3,GPT3,570,Plain
Human,0.988357604,AI,OriginalityAI,Yes,Real CS224N,Human,813,NA
AI,0.5,Human,ZeroGPT,NA,Fake TOEFL - GPT4 - PE,GPT4,433,Enhance like native
Human,1.45E-11,Human,GPTZero,Yes,Real CS224N,Human,757,NA
AI,0.25,Human,ZeroGPT,NA,Fake CS224N - GPT3,GPT3,36,Plain
Human,0.013726672,Human,OriginalityAI,Yes,Real CS224N,Human,825,NA
AI,0.003710597,Human,OriginalityAI,NA,Fake CS224N - GPT3,GPT3,40,Plain
AI,2.07E-06,Human,Sapling,NA,"Fake CS224N - GPT3, PE",GPT4,386,Elevate using technical
AI,0,Human,ZeroGPT,NA,"Fake CS224N - GPT3, PE",GPT4,601,Elevate using technical
AI,0.000188494,Human,HFOpenAI,NA,"Fake CS224N - GPT3, PE",GPT4,441,Elevate using technical
AI,0,Human,ZeroGPT,NA,Fake CS224N - GPT3,GPT3,574,Plain
Human,0,Human,ZeroGPT,Yes,Real College Essays,Human,48,NA
AI,0.996177554,AI,HFOpenAI,NA,Fake CS224N - GPT3,GPT3,585,Plain
AI,2.41E-05,Human,Sapling,NA,Fake CS224N - GPT3,GPT3,533,Plain
AI,0.002279298,Human,GPTZero,NA,Fake CS224N - GPT3,GPT3,641,Plain
Human,6.04E-16,Human,GPTZero,Yes,US 8th grade essay,Human,227,NA
Human,0.999823868,AI,Quil,No,Real TOEFL,Human,302,NA
Human,0.02403754,Human,Quil,Yes,Real College Essays,Human,240,NA
AI,0.000360718,Human,Sapling,NA,"Fake CS224N - GPT3, PE",GPT4,578,Elevate using technical
AI,0.006035968,Human,OriginalityAI,NA,"Fake CS224N - GPT3, PE",GPT4,716,Elevate using technical
AI,0.001056573,Human,HFOpenAI,NA,Fake College Essays - GPT3,GPT3,532,Plain
Human,3.00E-04,Human,OriginalityAI,Yes,US 8th grade essay,Human,913,NA
Human,0.999999556,AI,Sapling,No,Real TOEFL,Human,349,NA
Human,0.999821365,AI,Quil,No,Real TOEFL,Human,345,NA
AI,0.000173151,Human,Quil,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,897,Elevate using literary
Human,0.000254571,Human,Quil,Yes,US 8th grade essay,Human,913,NA
Human,4.19E-08,Human,GPTZero,Yes,Real CS224N,Human,774,NA
